Date,T,W,SR,DSP,DRH,PanE
"10,187",13.50,245.50,215.60,101.80,64,0.21
"10,287",15,350.80,290.40,101.80,69,0.27
"10,387",14.30,310.70,242.60,101.80,73,0.21
"10,487",13.50,595.40,97.50,101,87,0.16
"10,587",13.90,664.20,234.40,101.40,66,0.40
"10,687",12.80,380.80,216.60,101.90,67,0.24
"10,787",13.30,404.50,246,101.80,69,0.28
"10,887",12,302.90,303.60,102.30,61,0.28
"10,987",12.50,334.80,269.10,102.30,47,0.36
"11,087",11.70,245.10,321.40,102,46,0.34
"11,187",13.70,251.50,320.10,101.80,37,0.40
"11,287",14.30,266.50,319.30,101.70,36,0.46
"11,387",13.10,258.70,236.20,101.60,68,0.21
"11,487",13.60,303.80,169.60,101.30,75,0.17
"11,587",12.10,546.60,225.10,100.70,56,0.42
"11,687",7.60,429.60,331.10,101.20,32,0.50
"11,787",8.50,307,325,102,33,0.40
"11,887",10.80,348,314.40,102.30,53,0.35
"11,987",11.80,348,297.70,101.50,62,0.30
"12,087",13,486.10,349.60,102.10,20,0.72
"12,187",11.10,307.50,324.10,102.30,34,0.44
"12,287",12.10,346.20,263.60,101.70,50,0.33
"12,387",13.20,247.40,239.60,101.40,72,0.18
"12,487",13.10,305.20,328.60,101.90,72,0.23
"12,587",14.30,251.50,354.10,102.10,66,0.28
"12,687",16.50,278.80,349.50,101.90,43,0.42
"12,787",15.70,254.20,177.70,101.60,57,0.28
"12,887",15.50,362.20,304.40,101.70,77,0.28
"12,987",13.80,291.50,325.30,101.70,71,0.26
"13,087",13.60,376.70,257.80,101.40,67,0.28
"13,187",13.60,292.50,362.30,101.70,70,0.30
"20,187",14.30,262.80,359.70,101.60,60,0.32
"20,287",13.50,290.20,329.70,101.30,67,0.27
"20,387",13.80,306.10,227.90,101.30,77,0.18
"20,487",14.70,384.50,384.60,101.60,75,0.32
"20,587",17,285.20,375.60,101.90,38,0.51
"20,687",19.60,454.60,382.90,101.80,25,0.85
"20,787",21.10,415,217.50,101.60,20,0.81
"20,887",18,256,259.50,101.40,35,0.49
"20,987",16,291.10,211.20,101.40,70,0.25
"21,087",16.60,272.40,268.40,101.50,81,0.19
"21,187",16.30,358.10,293.20,101.90,80,0.24
"21,287",15.90,448.70,263.30,102.10,78,0.26
"21,387",15.70,406.30,209.20,102,76,0.21
"21,487",16.10,329.40,381.50,101.70,74,0.30
"21,587",13.70,279.20,167.70,101.40,84,0.14
"21,687",14.30,442.80,424.40,101.60,55,0.50
"21,787",13.70,231.40,409.90,101.70,52,0.36
"21,887",13.40,317.10,393.10,101.30,59,0.40
"21,987",13.70,378.10,418.70,101.40,36,0.53
"22,087",13.70,378.60,421.60,101.70,29,0.58
"22,187",13.20,353,467,101.70,41,0.52
"22,287",11.70,347.60,314.70,101.20,72,0.27
"22,387",11.20,579.90,207.90,100.50,68,0.31
"22,487",9.90,562.60,223.60,100.50,71,0.27
"22,587",9.90,495.20,346.30,100.70,68,0.30
"22,687",11.10,439.10,370.90,101.20,58,0.38
"22,787",12.10,291.50,460.30,101.90,61,0.39
"22,887",12.30,328,413.10,101.90,61,0.35
"30,187",12.60,316.10,440.90,101.60,73,0.32
"30,287",13.60,315.20,417.20,101.80,63,0.35
"30,387",15.50,214.60,461,101.90,53,0.40
"30,487",19.40,270.10,344.50,101.60,30,0.59
"30,587",17.70,451.40,214.40,101.50,52,0.48
"30,687",15.10,248.30,138.60,101.50,89,0.11
"30,787",14.70,374,259,101.60,86,0.18
"30,887",14.80,349.40,358.60,101.60,77,0.28
"30,987",14.80,305.70,253.50,101.70,75,0.22
"31,087",14.20,343,350.40,101.90,75,0.27
"31,187",15.70,436.40,494.40,102.10,70,0.46
"31,287",15.10,435,269.50,101.90,80,0.28
"31,387",15.40,395,461,101.90,67,0.43
"31,487",14.90,495.20,404,101.40,69,0.43
"31,587",13.50,952.10,413.80,101,57,0.65
"31,687",14.10,349.90,496.60,101.20,59,0.47
"31,787",14,273.30,547.80,101.50,62,0.44
"31,887",14,345.30,336.70,101.20,74,0.28
"31,987",14,687,466.90,101.20,56,0.62
"32,087",13.20,411.40,520.60,101.50,60,0.52
"32,187",12.80,629.10,333.70,101.30,65,0.46
"32,287",12.70,637.30,456.10,101.50,54,0.60
"32,387",12.70,384.90,469.50,101.60,65,0.41
"32,487",13.80,407.30,501.10,101.10,61,0.49
"32,587",14.70,236.90,587.70,101.30,55,0.54
"32,687",15.40,237.30,589,101.80,57,0.52
"32,787",14.60,347.60,513.80,101.60,71,0.43
"32,887",15.20,313,572.10,101.40,65,0.49
"32,987",17.40,314.80,559.60,101.60,34,0.70
"33,087",18.10,331.60,560.70,101.80,18,0.89
"33,187",17.70,264.20,601.20,101.30,20,0.79
"40,187",16.90,375.80,585.40,101.60,44,0.72
"40,287",14.90,395.90,444.70,101.60,70,0.43
"40,387",14.30,616.80,441.60,101.20,65,0.45
"40,487",13.90,372.20,552,101.40,69,0.46
"40,587",14.80,335.70,572.20,101.70,68,0.48
"40,687",15.90,378.60,598.40,101.50,70,0.54
"40,787",18,332.50,575,101.40,59,0.61
"40,887",19.70,289.30,629.90,101.40,49,0.77
"40,987",19.70,305.70,627.30,101.50,34,0.78
"41,087",16.30,356.70,609.70,101.50,74,0.50
"41,187",15.50,435,289.80,101.10,73,0.33
"41,287",16,436,542.10,101.20,65,0.55
"41,387",17.70,307.90,614.50,101.50,68,0.56
"41,487",20,407.30,607.20,101.40,43,0.78
"41,587",18.70,355.30,580.90,101.40,61,0.60
"41,687",16.50,340.30,554.90,101.40,78,0.43
"41,787",15.20,319.30,294.70,101.20,75,0.27
"41,887",15.50,474.20,407,101.10,67,0.46
"41,987",16.50,405.90,636.10,101.40,59,0.68
"42,087",19.10,364,682.20,101.60,40,0.88
"42,187",22.50,362.20,669.40,101.40,21,1.14
"42,287",21.80,366.70,656.80,101.20,27,1.03
"42,387",18.10,362.20,605.70,101.50,69,0.58
"42,487",17.50,322.50,631.90,101.40,67,0.58
"42,587",16.50,354,455.60,101.50,73,0.41
"42,687",16.40,307,313.60,101.70,76,0.30
"42,787",16.20,377.60,307.60,101.50,83,0.26
"42,887",16.50,287.40,309.70,101.50,81,0.25
"42,987",16.50,362.60,274.40,101.40,77,0.28
"43,087",17.50,433.70,577.70,101.60,64,0.62
"50,187",17.10,463.30,542.60,101.60,65,0.58
"50,287",17,a,627.60,101.40,66,0.62
"50,387",18.60,403.60,695.60,101.30,60,0.74
"50,487",20.40,345.80,707.90,101.20,56,0.78
"50,587",19,390.40,684.90,101.20,77,0.62
"50,687",18.40,367.60,559.20,101.20,74,0.51
"50,787",17.60,354.90,323,101.20,80,0.29
"50,887",18.20,371.30,442,101.20,77,0.40
"50,987",18.10,445.50,286.90,101.30,82,0.28
"51,087",17.50,337.10,348.10,101.10,83,0.28
"51,187",18.30,355.30,466.60,101.10,79,0.41
"51,287",18.90,401.30,442.80,101,79,0.40
"51,387",17.60,361.20,308.10,101.20,84,0.25
